name,version,directory,repository,summary,from package.json,from license,from readme
@fortawesome/fontawesome-svg-core,1.2.12,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/@fortawesome/fontawesome-svg-core,https://github.com/FortAwesome/Font-Awesome,GPL;MIT,MIT,GPL;MIT,
@fortawesome/free-solid-svg-icons,5.6.3,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/@fortawesome/free-solid-svg-icons,https://github.com/FortAwesome/Font-Awesome,(CC-BY-4.0 AND MIT);GPL;MIT,(CC-BY-4.0 AND MIT),GPL;MIT,
@fortawesome/vue-fontawesome,0.1.5,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/@fortawesome/vue-fontawesome,https://github.com/FortAwesome/vue-fontawesome,MIT,MIT,,
autoprefixer,7.2.6,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/autoprefixer,https://github.com/postcss/autoprefixer,MIT,MIT,MIT,
axios,0.18.0,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/axios,https://github.com/axios/axios,MIT,MIT,,MIT
babel-core,6.26.3,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-core,https://github.com/babel/babel/tree/master/packages/babel-core,MIT,MIT,,
babel-eslint,8.2.6,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-eslint,https://github.com/babel/babel-eslint,MIT,MIT,MIT,
babel-helper-vue-jsx-merge-props,2.0.3,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-helper-vue-jsx-merge-props,https://github.com/vuejs/babel-helper-vue-jsx-merge-props,MIT,MIT,,
babel-jest,21.2.0,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-jest,https://github.com/facebook/jest,MIT,MIT,,
babel-loader,7.1.5,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-loader,https://github.com/babel/babel-loader,MIT,MIT,MIT,
babel-plugin-dynamic-import-node,1.2.0,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-plugin-dynamic-import-node,https://github.com/airbnb/babel-plugin-dynamic-import-node,MIT,MIT,MIT,
babel-plugin-syntax-jsx,6.18.0,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-plugin-syntax-jsx,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx,MIT,MIT,,
babel-plugin-transform-es2015-modules-commonjs,6.26.2,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-plugin-transform-es2015-modules-commonjs,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs,MIT,MIT,,
babel-plugin-transform-runtime,6.23.0,/home/a2iot1/swapnil_work/VueCLI/login/vueauthclient/node_modules/babel-plugin-transform-runtime,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime,MIT,MIT,,
